,CONTENT,ABUSE
1463,Hey Jessica this is Jovan I spoke with a man the other day that told me bout the employment jobs tmw he gave me the address and everything but idk what time it starts,0
1464,Stop I am no Patricia quit texting me,0
1467,OK Junida Nicholas,0
1468,2. It's Da'Juan thank you. Joseph 1. Coughing,0
1469,No symptoms,0
1470,Then get me a number to contact with,0
1471,$150.00 ASAP,0
1472,Please cancel my appointment on Tuesday 9/28 @ 9:20 with Dr. Vu.,0
1473,Good afternoon Jennifer hope you have a Funday Sunday,0
1474,What you got for sell lol your Google kels,0
1475,Are we workin today??,0
1476,Need uber,0
1477,Where is this,0
1478,No no,0
1480,No o,0
1481,Yes please pick up,0
1482,"I have applied and I always get denied, I haven't gotten a loan yet, tired of trying",0
1483,"Hopefully you heard from Aaron,?",0
1484,Okay send me the time thanks,0
1485,Another you serious. Piss off. I need a lone. Not a rum around. Scams pissoff get a real job.,1
1486,Rams have a home game on Sunday. Do you want to come? Was thinking of going with you plus a couple kids (or ask Danny for some more tix) or you and Ben/Staci or me and three kids. Let me know your thoughts.,0
1487,Accept 3,0
1488,I'm going to pay my note on the 1th this Rochelle Stewart,0
1489,Another one,0
1490,I need to cancel. Did not realize it was in Miami.,0
1491,Coming home,0
1492,Tim O'Key,0
1493,I need help with a loan....,0
1494,You welcome,0
1495,Had virtual with Shane on Friday. This appointment should have been cancelled.,0
1496,STOP Mr.Kimm S. Wisor,0
1497,I will be making another payment soon. I just got back to work.,0
1498,[Auto Reply] Call you back when I finished driving,0
1499,hello I am still seeking this counseling,0
1500,It's all your bullshit because every time I am I want to mine so it's al,0
1501,"Hi , i am getting ready to go I can give you guys a call soon as I make it home! Thanks!",0
1502,"Ok, I wait fir yours?",0
1503,When can I get money,0
1504,"We are moving from 18063 to shermansdale pa in early to mid October. 2 bedroom sets, 2 drawers, 2 desks, 1 kitchen nook, 1 dining table, 2 sofas, 2 loveseat, 1 buffet, 1 china closet, 2 end tables",0
1505,Is this in ny,0
1506,Khizra Ansari: NO Noor Begum: NO,0
1508,When may I get them $150? Part of the terms and interest rate?,0
1511,I will be there early.,0
1512,"I won't be able to make my appointment tomorrow, could you please reschedule for 1:30 p.m or later at a different date.",0
1513,What is cash by phone,0
1514,I'm on bankruptcy,0
1515,Ok Thanks,0
1516,Can you check on my application didn't hear anything back.,0
1517,.. Stop,0
1518,Lore please,0
1519,7th YEAR!!,0
1522,I have a question? Do you have a list of items you accept,0
1523,I need to change my appointment,0
1524,Can a saved man choose to be lost,0
1525,MESSAGE CONFIRMED,0
1526,Yes Valorie Carter,0
1527,Im gonna need help,0
1528,House these nuts!!!!,0
1529,Sick all of you bunch scumbags don't contact me no more,1
1530,This is not Marion,0
1531,Fuck off scammers,1
1532,Please stop texting,0
1533,I thought her appt was Tuesday morning,0
1534,Can u all send western union I got git aplace to stay,0
1535,a lender,0
1536,Sure I've been doing this for a week now and have never been connected to a lender just lending networks and I'm tired of the run around bullshit are you,0
1537,For 9/27 Mee Kim) No(Client: Seoung hee Ahn) No ( Client :Chong ok Yo) No,0
1538,Everytime I do that it just sends me to another sote amd asked for the same info,0
1540,Good liers,0
1541,Data theives,0
1542,String a desperate soul along to het what you want,0
1543,I rather pay it online. I can't talk right now,0
1544,Set up a payment for sept 30th,0
1545,O sorry,0
1546,Is This is old ? I was there yesterday at 7.,0
1547,You just resent me Saturdays call. Am I supposed to be there at 4:30 today?,0
1548,This is for yesterday,0
1549,"They were having the same problem last night. The girl said it went through when they posted the payment to end of day. I dealt with this for 3 hours last night, Ill pay for tonight myself if I have to and you guys can reimburse me.",0
1550,Wrong date?,0
1551,Yes I'm available to work.,0
1552,"I can afford a house because my income is only 1,90 a month.",0
1553,Ma'am I wasted my money on the mall??,0
1555,"Liked Â¡Â°Rem:Your appointment with Chibuike Anucha, M.D. is on 09-27-2021 at 02:40 pm at Chibuike Enyereibe Anucha, MD, PC. Txt STOP to OptOutÂ¡Â±",0
1556,How can I do that,0
1557,"My child was exposed to covid over a week ago. I know this your job, but you guys already called,and your late, what if she did have covid? Your trace is late. Contact tracing only works if it's done in a certain amount of time.",0
1559,I need to defer this month's payment,0
1560,I'm not Alex stop,0
1561,"Liked Hey Harold, got all the cash you need? Apply at 550cash.com/oMNakwl to see if you can access more cash up to $40k. Reply STOP to opt-out",0
1562,Can I change it for the 1 of October I get pay on the 1 of the month,0
1565,Okay have a nice day,0
1566,My daughter forgot to put the items out please let me know when next pickup will be.,0
1567,"Hi, Can do. Ill be able to call shortly this afternoon.",0
1568,"Iam good.Blue Cross,Medicaid,Medicare! And the little change added to my son check. Let me know what else I need to get.Thank you Let me know jb.",0
1569,Ok agree,0
1570,How fast can you reimburse me?,0
1571,I need 10K for a personal loan,0
1572,Also get the Extra change to Social check!!,0
1573,We are good,0
1574,Yes I put on here and stop So I can't use this,0
1576,Oh surf,0
1577,Armando Hernandez,0
1578,Stop to opt out,0
1579,Well does it have a garage or not,0
1580,You could send it through western union and I could pick it up at the Pilot back in Dunnigan.,0
1581,I have sent it,0
1582,I already turned them in yesterday on Saturday,0
1583,I turned in my books yesterday,0
1584,I don't have an account with u guys please stop bothering me,0
1585,Required database?,0
1586,Stop you fat bich,1
1587,Confirmed thank you,0
1588,Ok thanks can you take the old washer on Friday,0
1589,Do not understand what you want me to do,0
1590,This Adam J Wilson I am Working Stage1 Video,0
1591,Do you have some home in topeka kansas,0
1592,Copy thank you,0
1593,I am unable to make the appointment.,0
1594,Can we do this tomorrow,0
1595,I'm not looking for a house stop texting me,0
1596,I'll pay you tomorrow when I call you and you can make another arrangement,0
1598,Do not text me again,0
1599,You have the person. Temove my number from your list. PLEASE,0
1600,"It was a very nice stay, I will come again.Â¢Â¾?",0
1604,I wish to cancel. I called Saturday and left a message with the attending physician on call.,0
1605,Young kim no dong yoo no,0
1606,Not available for central park great lawn,0
1607,Stop to out,0
1608,"You know that's not possible, please stop messing with me.",0
1609,I already made my payment,0
1610,Estoy espera do q me llamen,0
1611,No I been testing negative,0
1612,Estoy conduciendo - Sent from MY CAR,0
1613,I'll pay 500 Wednesday just got released from hospital from covid hope sorry once again,0
1614,I am unemployed rt now but that will soon,0
1615,"AZMEENA GOWANI, NO CLIENT MALIK,NO",0
1616,"sabrina hufana, no signs or symptoms. renato hufana, no signs or symptoms",0
1617,Lori No Client Esther Farwell No,0
1618,Jeannette no Younan no,0
1619,Eliza Jin/NO Doris Sook Jin/NO,0
1620,(Ashur) NO (Dalila oshana )NO,0
1621,Mee Kim) No(Client: Seoung hee Ahn) No ( Client :Chong ok Yo) No,0
1622,"HCA (me), No Client Bertram, No Client Margaret, No",0
1623,Me.No Chae.yun. No,0
1624,Sarah Lee: NO Ha Hee Soon: NO,0
1625,Durya Riaz No shahnaz Riaz No,0
1626,Jennifer Kim no jeong soak song no jennifer Kim no Anna Roh no,0
1627,Me - Zohra Sabzaali: No Sadruddin Charania: No Shahsultan Charania: No,0
1628,Cassandra Goldsmith no Barbara Kitterman no,0
1629,I never got history forms,0
1630,Roychen V Valiaveedu NO Mathew Valiaveedu NO Mary Valiaveedu NO,0
1631,Daniel Zaia no Elishu Shemon no,0
1632,"Eunice,No Client Kaye,No",0
1633,Me safe Mr Young safe,0
1634,(Me) Julia Kim NO (Client) Ae Reuter NO,0
1635,"Mina Roller NO, Kumyi Kim NO",0
1636,Rani no SAMSOUN Arzoomanian no,0
1637,Melalyn Mendoza no Connie Batocabe no,0
1639,Viviana Miranda NO Ofelia Ortiz NO,0
1640,"Me: No Client Dolores, No",0
1641,James ishoo no Madlen Eshoo no,0
1642,"Yu Chong, No Client Sang No, No",0
1643,Miriam Ivette Cumba. NO Miriam Olivera NO,0
1644,Fidelia Cruz NO Francisca Moreno NO,0
1645,"Ryu,yonjoo. No Kim,hyun. No",0
1646,"Pilar Andres, no; client Angelina ilada, no.",0
1647,"Curtis Horton,No Eldora Caldwell,No Henrietta Riley,No",0
1648,"Latrece Edwards, No Denise Hudson, No",0
1649,Destiny Williams,0
1650,I cannot work,0
1651,"9/27/2021 Lea Kim, No Client: Hong Yong, No",0
1652,Florence Yoo NO Soojai Yoo NO,0
1653,Minha Ali - No,0
1654,Kyung won no Young park no 9/26/2021,0
1655,Me no Jung no,0
1656,Leti Gebrekristos NO Silvia Rizzi NO,0
1657,Sookyung lee(no). Â¹ÃÃÂ¢Â¼Ã¸ (no). Sookyung lee(no). Ã?Ã¼ÃÃ¡(no),0
1658,And atellez no client Mirso blazevic no,0
1659,"Disliked Â¡Â°SMIL:Please arrive on 9/27/2021 11:00 AM. 3645 S ROME STREET, SUITE 101 GILBERT, AZ 85297. Reply CANCELEXAM to cancel your exam. If you have multiple exams on 09/27/2021, this will cancel all of them. Txt STOP to OptOutÂ¡Â±",0
1660,Xochitl No Migdelia No Marcial No,0
1661,Lakeisha Roundtree No Betty Roundtree No,0
1662,I have a prior commitment on Monday but I am available after 6:30pm if that will work for you.,0
1663,Han sun hee No Clint Kim hak No Han young No,0
1664,"Jessica Rangel, No Luis Torres, No",0
1665,HOMECARE CLIENT COVID5.NO JUNG CHUN BONG5.NO WORK YES 9/27/2021,0
1666,Sithar Keo NO Cheng Kolamneo NO,0
1667,Me: No Client: Yung Kim: No,0
1668,"Juana Colunga, No Client, Wopinski, No",0
1669,Farzana Merchant'No Amina Merchant'No,0
1670,I like that we're is the house what are please,0
1671,"Jon Tomasic, no. Client Paula Goldstein, no.",0
1672,COVID questions for September 27th VISIT Susan Leung NO Client Sin Kwok NO,0
1673,I will make my payment how much do I owe minimum payment,0
1674,9/27 Mon Kim.Min Jeong No So.Wang C No,0
1675,"Esther Ok, no Bok Ok, no",0
1676,"Client Kung, KAIREN , No Client Xu, Fengyun , No Me: Kung, Yenfang , no",0
1677,These gotta be the niggas Madea told us to pour hot GRITS on?,0
1678,Client najibah nammo no wyled yonan no,0
1679,Salima No Roshan No,0
1680,Gene Pak No Choon Yu No,0
1681,Safe Text Samir Suteria No Naseem Ali No,0
1682,Loved Â¡Â°These gotta be the niggas Madea told us to pour hot GRITS on?Â¡Â±,0
1683,Andrew bae No Chun whee bae No,0
1684,Why do you guys give out a number that's ALWAYS busy,0
1685,"Re-Confirming: 9/26 902pm @ the Apple--Hard hat, hi-vis, Show blacks. Question: Where do I get the blue wristband? This is my first GOVBALL call-- do I test? I am vaccinated.",0
1686,Ok submitted payment. Remember 2 was one man short for 2 hours,0
1687,"hoin kim, no, hannah lee, no",0
1688,"Got it, thanks",0
1689,"JIHYUN KIM,NO CHOE SOON, NO HOMIN LEE, NO",0
1690,"Zehra Merchant, No Tajbanu Dhanji, No",0
1691,Clotilde Kim NO Yong Yae Kim NO,0
1692,"Young Lee,No Sun Chi,No Myung Chi,No",0
1693,Mariah Sutton (Home Aide) NO JoAnn Barnes Hardy (Client) NO,0
1694,"Eva Crespo, NO Client: Perfecta Morales, NO Client: Morris Bowie, NO",0
1695,It's supposed to be 10/4,0
1696,ÃÂ¨Â¸ÃÃ?ÃÃÂ¿:han sook hee:no ÃÂ¬Â¶Ã³Ã?ÃÂ¾Ã°ÃÂ®:shin bok sun:no,0
1697,Can you get payment out on the 1st of month my check don't come till then.,0
1698,"Paeng Un S : NO Yoon, Soon Ja : NO",0
1699,Pls send me the copy for training in how to sign in/out in the new changes in the system (instead of sand track). By mistake I deleted it.,0
1700,Client Ofelia Alvarez No. Arun Manandhar No.,0
1701,Hannah no Tae no,0
1702,Olkolololololllllllllllllllllllllllllllllllllllllllllllllllllllllll lol,0
1703,"Nefatari Hampton,No & Ashley James Averheart,No",0
1704,Gabriela Soto No Gloria Barrera No,0
1705,Horace no,0
1706,Sabera - yes Rashida - yes,0
1707,Park OK Sim. No Park Joon won. No,0
1708,Amy no Silvina charo no,0
1709,Chung hwasoon NO client kim younghee NO,0
1710,"Adasil Suchwani,NO Adaina Frampton,NO",0
1711,Mary sharps No LILLIE SHARPS NO,0
1712,Is this for Saturday or today,0
1713,We scheduled for the 28th,0
1714,My phon e is. Messe up order new. One. Be Here tomorrow,0
1715,David No Charles Smith No,0
1716,Lorena Parra no Nenita sanglap no,0
1717,Sung soon Kwon No Chang duk Jo No,0
1718,"The address was wrong for the urgent care for the blood draw. Also, the doc keeps calling in sick, so I haven't been able to get the sample done. Is there another location you could recommend.",0
1719,Attention JB-111 Code 1 Refill on toilet paper,0
1720,I I jhnzz we,0
1721,"1.No 2.No 3.No My name: Joyce Jung No Client Jeung, No",0
1722,Christina no Heung no,0
1723,Massan kwaku no Abra Amesseh no Comlan kwaku no,0
1724,Lee Jee(no) Lee young ja(no) Shin Soojung(no) 9/26/21,0
1725,"Saleha No, Sajida Qadri NO",0
1726,"Yes, I can go to OSHA",0
1728,"katya, no client regina, no",0
1729,Drive down on November 5th to drop her off and drive down on the 12th to pick her up ?,0
1731,Jeanette No,0
1732,Confirm 11:30,0
1733,Walter No,0
1734,N I'm feeling sick,0
1735,"RAMS RPG:Free English OSHA 10 class on 10/1 5pm-9pm and 10/2 7am-1pm at the Tampa RAMS office. Must attend both days, RSVP at 813-880-7133. Txt STOP to OptOut Yes, I must attend both days.",0
1736,"No Tiffany sath, Cheng Vann, NO",0
1737,09/27/2021 Cathy Ramirez - NO Ok Kyong Bang - NO,0
1738,Seungjulee. No Beomkim. No Hyungchulkim. No,0
1739,Anne Somerman NO Bok Ye Jung NO,0
1740,I already made my last payment 6 payments of 405.04 it was supposed to be 90 days same as cash,0
1741,"Dawn,No PARLEE , No",0
1743,"Park young ae No.Lee tae sub,No",0
1745,Hello what's your ph. #,0
1746,Cancel that request I don't want to stop,0
1747,I have already paid,0
1748,Sumi Ju No Hyun SungOk No,0
1749,Hannapark NO Sunghye Kang NO,0
1750,Sumi Ju No Whang KilNam No,0
1751,I will be there next week to pay my bill on Friday I was not awear my wife did not pay the bill,0
1752,"Beatriz Hern?ndez, No Sung Ik Jae, No Modesto Lagunas, No",0
1753,"Leticia Zamudio, No Client: Teresa Zamudio, No",0
1754,"9/27/21 PARK, MHIN ZHA NO CLIENT 1. HAM, BONG SOON NO 2. LEE, KI WOON NO",0
1755,CALL MY DAMN PHONE IF THIS IS REAL- otherwise I am reporting u immediately,0
1756,Me: (Clara Lee) - No Client: (Jong Yo Lee ) - No Client: (Chul Hee Kim) -No,0
1757,Need my account number,0
1758,My husband sent that request out. I am currently working and have good insurance so please disregard the request. Thanks,0
1759,Help for help,0
1760,"Hi Jeff.. thanks for reaching out. I am outside right now.. once I back home, I will fill the details..",0
1761,"Fahim Killedar NO , Zaheeruddin H Macci NO",0
1762,How long will it take me to pay it off because I am on a sit income,0
1763,Me. No Sun Yong Kim. No,0
1764,Text me information,0
1765,That's good thank you,0
1768,This is scam,0
1769,Nina no Ann Nowlin no,0
1770,Lola was groomed two weeks ago when she was in for boarding. Please cancel appointment.,0
1771,"June Kim, NO Client Bok Ja Jang, NO",0
1772,Hyo soon No. Boksoon wang No,0
1773,It's all bs,0
1774,"Me No, Demetrio No, Ana Hilda No.",0
1775,"9/27/2021 HCA:UH, SOOK YOUNG:NO Client:LEE, RUTH:NO",0
1776,I do not have a job currently to a disability I can't. I have no way of making a payment for now as I've stated over the phone already,0
1777,They closed the cps case Friday,0
1778,SHELTER 33759,0
1779,We're already secured insurance,0
1780,No connection,0
1781,Can we do it by text,0
1782,In won.no Chang soo.no,0
1783,What time?,0
1784,Paketerofetuculocuagol bisteloponemorecsliveyre411,0
1785,Homecare: Jenny shim Everything: NO Client: jinkuy Kim Everything: NO Client : Heeja Lee Everything: NO 9.25. 2021,0
1786,"Questioned Â¡Â°Electric Plus, Inc.:Quintin, Here is Whicker's Weekly Word- https://t.zipy.us/qzumd -Enjoy& Have a Great Week!! Txt STOP to OptOutÂ¡Â±",0
1787,Good afternoon,0
1788,Homecare: Jenny shim Everything: No Client: jinkuy Kim Everything: NO 9.27. 2021,0
1789,Me) Emma lopez no Client) Paula Rivera Maldonado no,0
1790,Ian got it,0
1791,"Jaime, No, Client, Piedad, No",0
1792,I didn't request. Nothing,0
1793,Jsamjn kim no,0
1794,Ok I'm not sure anymore,0
1795,Jenny byung kim no,0
1796,917 4781551,0
1797,Jin ho park no Client soon ja park no,0
1798,"Me , no Client. Elodia, no",0
1799,"'Choi, Linda, No, Chung, Ok B, No",0
1800,Lakida times no client marilyn lee no client author lagrone no,0
1801,H):Wen Esther _no C):Lee kumnan-no 9/27/21,0
1802,You won't let me pay online or by phone bro,0
1803,"No, no need I was negative, going again this week",0
1804,Electric plus weekly message,0
1806,I all ready made the payment,0
1807,See you tomorrow at930 am,0
1808,James no/soon kimmo,0
1810,"I can request what ever I want. But if your not going to help me, don't waist my time.",0
1811,"Jenna Lee, no Seu woon Kim, no",0
1812,"Me Conchita Ramiscal no. Client, Jamal Malakooti no. Client, Manous S. No",0
1813,9/27/2021 Park hae kyong no Park wol soon no,0
1814,I need inspector,0
1815,Nelson Penalber No Susana Vilar No,0
1816,Annette No Carolyn No,0
1817,False ad. Liars. You no more help people who need it than man in the moon,0
1818,"Please schedule a pickup for Sept 28,2021 Thank you",0
1819,Stop im not interested,0
1820,"Payment was sent, you should get it Monday or Tuesday. Thank you",0
1821,1 fever,0
1822,You have the wrong number. There is no Jamar here,0
1823,Lorie no Dorothy no,0
1824,RubinaNo Shabudin no,0
1825,Eunkang ku 1.No 2.No 3.No Jungok park 1.No 2.No 3.No,0
1826,"Ofelia,NO Maria Amaya,NO",0
1827,Can someone please confirm that they know I'll be making a payment on the 28th?,0
1828,Shelly Carl-Chan-NO Frances Carl-NO,0
1829,No m?s,0
1830,"No, Not this time",0
1831,I have paint brushes for painting inside a house never used and still in package. Are these acceptable?,0
1832,Jennifer Oh NO Sook Choi NO,0
1833,Sorry no,0
1834,"Lee,eunsil no Jeon, hai suk no",0
1835,Me no Jimmie Penro no,0
1836,Si. Si. Boi. Adar el. Pajo. Si. Me. Puede. Esperar. Por. Fabor. Estoy. Enferma,0
1837,Ashley eum no Myung Lee no,0
1838,AHHHH DADDY,0
1839,Y to confirm,0
1840,9/27/21 Home Care: Hyun Sook Lee No Client : Choon Hee Lee No Sook Ja Lee No,0
1841,927.79 before October 29,0
1842,Don't need anymore.,0
1843,Thank you..,0
1844,Hyeran Kim no.Kumsuk bae no.,0
1845,Y confirm,0
1846,Won't be there still out of town,0
1847,Client. Kathryn Martin no. Worker erika kang No for tomorrow,0
1849,"(Me) No (Client) Chung,Tae Hae No",0
1850,I already went order made a payment I'm going next Friday make another payment,0
1851,Stephen NO / Client: Sarah NO,0
1852,covid-19. chae. sim: no. wol. bae : no.,0
1853,Call me 8328723884,0
1854,Yes 4831 w van buren Chicago IL 606 44,0
1855,Ya page,0
1856,Eunheedo No Client Do Jae Deug No Client Lee AeJa No,0
1857,Stop ?????,0
1858,Can u send something that proves your legitimate,0
1859,Hi but I won't be able to make a payment until next week.,0
1860,Payment already made!,0
1861,"Hello, I've tried to pay multiple times but it won't let me. I have also tried to reach you guys multiple times and no one responds",0
1862,"I'm still trying to get a loan. But I've had Identy theft in 2019 and 2020 where they maxed out my credit cards and stole 12,000. Out of my bank account. My credit went from 786 to 427. It's right around 601 from experience 609 from equafax and 558 from Transunion. So I'm having a hard time finding a loan. I have always paid my bills on time. I really need $1000 but $500 would work. I broke 2 of my dental implants and my insurance doesn't cover implants. So I've been in a lot of pain for about 8 days now. So if you can help me that would be great.",0
1863,Here 2066,0
1864,How much,0
1865,Due to illness in family member and lost in home,0
1866,Anna pages no Client sumara pages no,0
1867,"Nevena Tomic, no Dragan Milosavljevic, no",0
1868,Edgar Padron,0
1869,AsA!!! Tiffany,0
1870,On it as we speak.,0
1871,Maldonado:no Ortega: no,0
1872,Oye en la tarde,0
1873,Cancel exam,0
1874,Me no client shahsultan karamali no,0
1875,Ok tell me more,0
1876,My loan ,0
1878,"The number you are sending an SMS to,currently has no SMS capabilities.",0
1880,Questioned Â¡Â°FEMA:FEMA ID 0249 You are subscribed to FEMA text messages. Reply STOP to decline. Do not send any other info here.Â¡Â±,0
1881,Ok tomorrow,0
1883,I need help today,0
1884,John Dan,0
1885,How to start a loan.,0
1886,I will.call you monday,0
1887,Me No jangue No,0
1888,Suneui Park-No Arisoo Baek-No,0
1889,No I Need $900!,0
1890,Yes confirming,0
1891,Which location and i can go in the morning because they open at 7am,0
1892,Baby grand piano,0
1893,Please cancel my appointment for Monday,0
1894,This is Reem Lawi my answer for COVID-19 is no My Cliend Fraidoon Khoshaba His answer is no,0
1895,Any time is great,0
1896,I already paid today in the morning,0
1897,wrong number,0
1898,Nhs's even,0
1900,No Jennifer No Wilma Primer,0
1901,Yes. Sorry I didn't respond sooner. Can you still pickup on 10/4?,0
1902,Antoine Castile no Willie miggins no,0
1903,SHELTER 75011,0
1904,Just please let me know when to expect a call. Thank you,0
1905,"Please cancel this appointment, have already met to take care of what this appointment was set for. thank you",0
1906,I don't have fb,0
1907,Laura Alvarez No Jacqueline Bruno No,0
1908,Confirm 10:05 but I don't see a correlating stage or assignment...,0
1909,I need a 1000,0
1910,Thank you!,0
1911,Fuck you i owe $100,1
1912,My payment is not that much left,0
1913,Requesting $500 transfer please,0
1914,What is my next payment amount should be a lot less,0
1915,Sol Gales no Mariana Tartakousky no,0
1916,"Cho, bokhee. No Chung, choo. No",0
1917,"Cho, bokhee. No Kang, heekyung. No",0
1918,09/27/2021 Lee haejs No Client Susie Lee No,0
1919,Jim Lee no Sang Lee no,0
1920,What are you saying,0
1921,I need to make a change?!? You don't know me,0
1922,"Haesu, No Client Jane Sung, No",0
1923,Helen Talo - NO Client Doris Benjamin - NO,0
1925,Go away,0
1926,Same symptoms.,0
1927,Y'all did such a good job on my home,0
1928,Mar?a. G T?llez. No Client. Mart?n. T?llez. No,0
1929,How do I get the Bible studies materials for that prophecy series?,0
1930,N l.,0
1931,Kyungae YI NO KYUNG YI NO,0
1932,I cancelled this appointment at 8am this morning,0
1933,Christine no rose no,0
1934,Stop texting,0
1935,"I thought this was at 10 am not 11 am, or is that 11am EST, 19am CST?",0
1936,"Yes, changed my mind. Need a pickup.",0
1937,"Hi Alisa, I can do Wednesday the 29th and Thursday the 30th any time during the day",0
1938,I sent it,0
1939,Can I come in today to pay?,0
1940,I need to pay cash,0
1941,Auto wash,0
1942,In Emporia ks 66801,0
1943,Phyllis does have this phone number anymore. Stop messaging and calling me please. I'm not her!!!,0
1944,I don't know how to fault it out,0
1945,Fatenmerza no khoshaba Merza no,0
1946,Cancel plz,0
1947,"Lee, Joan; no An, Do; no",0
1948,"Richardson, Patricia - NO Client: Dorothy Foster NO",0
1949,"Removed a like from Shoe Station, Inc.: Fridays are better with new shoes! FINAL 3 DAYS: 25% off shoes: 700323. Expires 9/26/21. Exclsns apply. Txt STOP to OptOut",0
1950,Help Bob-0,0
1951,The web site won't let me log on but I do need a loan,0
1952,Hey give me the money,0
1953,Call you back in 15 minutes.,0
1954,Yes cancel me tomorrow,0
1955,lee.sunja.no kim.kim.oesoon.no kim.wonsup.no,0
1956,lee.sunja.no kim.oesoon.no kim.wonsup.no,0
1957,"Seble Negash,No Client Cora Ward,No",0
1958,Whats wrong can you take no for an anwser!!!!!,0
1959,I'm sorry I didn't read you unscribed me thank you. So much,0
1960,After my sons game,0
1961,Here 8310,0
1962,Liar. All you do is send my info all over to other and know you weren't doing to do it all alone,0
1963,im going to penis your balls,1
1964,Can you call me,0
1965,NoÃ?ÃÂ½ÂºÃ?Ã NoÂ±Ã¨ÃÂ¯Ã?Ã,0
1966,Jamie Jones,0
1967,"9/26/21 LEE,JEE WON NO CLIENT SONG,IN MYUNG NO",0
1968,Why do you send me links that never go through!!!! Send me links with documents to sign only!! Stop making JUMP through hoops for a small amount of a loan!!!,0
1969,N my spot. is Oct.4 at 8:30 am,0
1970,CCTV yet LLP try,0
1971,Stop! Such a joke nobody approves me,0
1972,Delorise Cole no,0
1973,Lovie Oliver no,0
1974,I wish I quit saying I can help me cuz I won't help me if I did need some money right now,0
1975,I can't opening up my garage deny,0
1976,Jane yoo no no no Kum.hu no no no,0
1977,This isn't reach McAllister's phone number anymore you're wasting your time with me,0
1978,I'll be out of commission for awhile,0
1979,"Address change 1359 NE 127st Miami, Fl 33161",0
1980,That my case number but you can check out for your self using the application you will be given your own number,0
1982,Luz Barrientos NO Pedro Barrientos NO,0
1983,Help Traci Kehias,0
1984,Tell me what I am approved for,0
1985,"Sorry, no photos",0
1986,Andrea Aparicio NO Gina Gerhardt NO 09-23-2021,0
1987,Can it be paid with a credit card?,0
1988,"Andrea Aparicio NO, Felipe Gonzalez NO 09-24-2021",0
1989,"Andrea Aparicio NO, Frutoso Salgado NO 09-24-2021",0
1990,When is my next schedule appointment,0
1991,Unless you can actually give me a loan. Please do not bother me,0
1992,Bomi Yoo NO Seong Ja Yoo NO,0
1993,Apt 306,0
1994,Authentic withdrawal!,0
1995,What's the cash app,0
1996,4444 Steve Fezzik Strong lean Gb qb Rodgers under 37.5 pass attempts snf,0
1997,Our appointment in tomorrow,0
1998,"May Chang, No Client Yon Kim,No",0
1999,"No, no tenemos ning?n s?ntoma",0
2000,What do I do to get cash,0
2001,"Thanku for your response, I just emailed you.",0
2002,4444 Steve Fezzik lean gb receiver lazard un 2.5 catches -190,0
2003,No I just need $1000-$2000,0
2004,I'll try again in a bit I'm sick to my stomach,0
2005,bcstockman@comcast.net Sorry just saw this Thank You,0
2006,How we continue,0
2007,Sorry just saw this My email is bcstockman@comcast.net,0
2008,"It's this fraud, help, police help the investigation get the perpetrator",0
2009,Client Amitabh Agrawal No,0
2010,"911, 912, help catch fraud",0
2011,Client Ellen Casey No,0
2012,Abibatu Sesay No,0
2013,What a scam. Anything to get money from people.,0
2014,Stephen Brown,0
2015,Just stop you just wasting my time,0
2016,Antonia Vazquez. No SAMUEL M.No,0
2017,I can't be there before 1pm,0
2018,"Sarah NO, keum ok Lee No",0
2019,Thanks Juan,0
2020,But it just processes and nothing happens; why is that ?,0
2021,No thanks now stop,0
2022,Tiffany Bonner NO Laverne Boyce NO,0
2023,Not discharged tomorrow yet. Possibly tomorrow. I'll let you're know. No....They will.,0
2024,Homemaker Kim. Hwaksil NO Client Kwon. Soonjo NO 9/27/2021 Schedule,0
2025,Dukyoo No Jae kyung No,0
2026,Yo hice mi pago mensual de septiembre cada mes as? lo hago y la grabaci?n dice que eso pagar? cuando puedo siempre doy m?s porque no me dicen de que debo ese dinero que me cobran a mi me gusta pagar no me gusta que me. Anden cobrando y no me dicen de que,0
2027,Thomas Lee No Jung Lee No,0
2028,"N , I didn't check accept 8 am I live to far out and traffic",0
2029,Hope we are behind on Rent and Duke Power Please. Help. Us,0
2030,No Diane Gilliam No Claude Turner,0
2031,Questioned Â¡Â°FEMA:FEMA ID 3018 You are subscribed to FEMA text messages. Reply STOP to decline. Do not send any other info here.Â¡Â±,0
2032,you have 35 bucks,0
2033,"Thanks for subscribing to cat quotes for you! $10 will be charged to you account, to cancel please say Â¡Â°CANCELÂ¡Â±.",0
2034,IÂ¡Â¯m sorry the message wasnÂ¡Â¯t sent properly please send again.,0
2035,If you can beat obama care,0
2036,Are they gonna have a truck there ready to go for me,0
2038,"Chunhee Chung, No Song Chin Hong, No",0
2039,Evelyn vega no Carmen Vega no,0
2040,Mariah Elliott,0
2041,"Khadeer Ahmed-Uddin, No. Client Syed Khader, no.",0
2042,Rukhsana Iqbal NO Fatima Iqbal NO,0
2043,HA TAEWOONG NO PARK MARIA NO,0
2044,Yes I'm rolling,0
2045,Laughed at SchoolsFirst FCU: Debit Card purchase of $322.44 at COSTCO WHSE #0 F was made from xxxx75-70 on 09/26/2021.  Txt STOP to opt out.,0
2046,Hello Sangson Lee: No. Hongyon Kim: No. As of 9/27/21. Thanks.,0
2047,Grace Chon NO (Client) Soon Im Pak NO Seungbok Chon NO,0
2048,Yes I'll be there!,0
